Episode,WhiteBallStartX,WhiteBallStartY,RedBallStartX,RedBallStartY,YellowBallStartX,YellowBallStartY,HitAngle,HitForce,RedTouched,YellowTouched,CushionCount,Score,Reward,TimeStamp
0,-4.775587,2.244163,-1.801701,1.078686,0.4441257,-2.383934,5.632085,8,False,False,3,0,-1,2025-05-27 02:18:25
1,-4.775587,2.244163,-1.801701,1.078686,0.4441257,-2.383934,0,8,False,False,1,0,-10,2025-05-27 02:18:37
2,-4.775587,2.244163,-1.801701,1.078686,0.4441257,-2.383934,6.509192,8,False,False,4,0,-1,2025-05-27 02:18:48
3,-4.775587,2.244163,-1.801701,1.078686,0.4441257,-2.383934,0,8,False,False,4,0,-1,2025-05-27 02:19:00
4,-4.775587,2.244163,-1.801701,1.078686,0.4441257,-2.383934,2.49706,8,False,False,3,0,-1,2025-05-27 02:19:11
5,-4.775587,2.244163,-1.801701,1.078686,0.4441257,-2.383934,0,8,False,False,5,0,-1,2025-05-27 02:19:22
6,-4.775587,2.244163,-1.801701,1.078686,0.4441257,-2.383934,2.191427,8,False,False,2,0,-10,2025-05-27 02:19:33
7,-4.775587,2.244163,-1.801701,1.078686,0.4441257,-2.383934,0,8,False,False,4,0,-1,2025-05-27 02:19:36
8,-4.775587,2.244163,-1.801701,1.078686,0.4441257,-2.383934,0,8,False,False,4,0,-1,2025-05-27 02:19:38

0,2.355601,0.5607941,2.656465,-0.9895632,-2.946412,-1.477967,0,8,False,False,2,0,-10,2025-05-27 17:51:22
1,2.355601,0.5607941,2.656465,-0.9895632,-2.946412,-1.477967,2.221346,8,False,False,3,0,-1,2025-05-27 17:51:34
2,2.355601,0.5607941,2.656465,-0.9895632,-2.946412,-1.477967,3.56449,8,False,False,4,0,-1,2025-05-27 17:51:44
3,2.355601,0.5607941,2.656465,-0.9895632,-2.946412,-1.477967,0,8,False,False,3,0,-1,2025-05-27 17:53:46
4,2.355601,0.5607941,2.656465,-0.9895632,-2.946412,-1.477967,0,8,False,False,3,0,-1,2025-05-27 17:53:56
5,2.355601,0.5607941,2.656465,-0.9895632,-2.946412,-1.477967,8.691911,8,False,False,4,0,-1,2025-05-27 17:54:07
6,2.355601,0.5607941,2.656465,-0.9895632,-2.946412,-1.477967,0,8,False,False,2,0,-10,2025-05-27 18:08:38
7,2.355601,0.5607941,2.656465,-0.9895632,-2.946412,-1.477967,334.9337,19.18874,False,False,3,0,-1,2025-05-27 18:08:50
8,2.355601,0.5607941,2.656465,-0.9895632,-2.946412,-1.477967,0.8409114,8,False,False,1,0,-10,2025-05-27 18:09:01
9,2.355601,0.5607941,2.656465,-0.9895632,-2.946412,-1.477967,13.552,8,False,False,4,0,-1,2025-05-27 18:09:13
10,2.355601,0.5607941,2.656465,-0.9895632,-2.946412,-1.477967,1.826168,8,False,False,4,0,-1,2025-05-27 18:09:25
11,2.355601,0.5607941,2.656465,-0.9895632,-2.946412,-1.477967,15.69667,3.626391,False,False,1,0,-10,2025-05-27 18:09:34
12,2.355601,0.5607941,2.656465,-0.9895632,-2.946412,-1.477967,232.2833,21.52771,False,False,5,0,-1,2025-05-27 18:09:45
13,2.355601,0.5607941,2.656465,-0.9895632,-2.946412,-1.477967,0,8,False,False,0,0,-10,2025-05-27 18:09:55
14,2.355601,0.5607941,2.656465,-0.9895632,-2.946412,-1.477967,0.3616882,8,False,False,3,0,-1,2025-05-27 18:10:07
15,2.355601,0.5607941,2.656465,-0.9895632,-2.946412,-1.477967,6.202766,8,False,False,3,0,-1,2025-05-27 18:10:19
16,2.355601,0.5607941,2.656465,-0.9895632,-2.946412,-1.477967,6.872742,8,False,False,3,0,-1,2025-05-27 18:10:31
17,2.355601,0.5607941,2.656465,-0.9895632,-2.946412,-1.477967,0.9175206,8,False,False,4,0,-1,2025-05-27 18:10:42
18,2.355601,0.5607941,2.656465,-0.9895632,-2.946412,-1.477967,6.081097,8,False,False,5,0,-1,2025-05-27 18:10:53
19,2.355601,0.5607941,2.656465,-0.9895632,-2.946412,-1.477967,6.515113,8,False,False,5,0,-1,2025-05-27 18:11:04
20,2.355601,0.5607941,2.656465,-0.9895632,-2.946412,-1.477967,7.822251,8,False,False,1,0,-10,2025-05-27 18:11:14
21,2.355601,0.5607941,2.656465,-0.9895632,-2.946412,-1.477967,0,8,False,False,2,0,-10,2025-05-27 18:11:25
22,2.355601,0.5607941,2.656465,-0.9895632,-2.946412,-1.477967,4.265482,8,False,False,1,0,-10,2025-05-27 18:11:34
23,2.355601,0.5607941,2.656465,-0.9895632,-2.946412,-1.477967,1.732264,8,False,False,3,0,-1,2025-05-27 18:11:45
24,2.355601,0.5607941,2.656465,-0.9895632,-2.946412,-1.477967,7.553251,8,False,False,5,0,-1,2025-05-27 18:11:57
25,2.355601,0.5607941,2.656465,-0.9895632,-2.946412,-1.477967,7.481629,8,False,False,1,0,-10,2025-05-27 18:12:06
26,2.355601,0.5607941,2.656465,-0.9895632,-2.946412,-1.477967,2.342305,8,False,False,2,0,-10,2025-05-27 18:12:16
27,2.355601,0.5607941,2.656465,-0.9895632,-2.946412,-1.477967,0,8,False,False,5,0,-1,2025-05-27 18:12:27
28,2.355601,0.5607941,2.656465,-0.9895632,-2.946412,-1.477967,0,8,False,False,4,0,-1,2025-05-27 18:12:38
29,2.355601,0.5607941,2.656465,-0.9895632,-2.946412,-1.477967,0,8,False,False,3,0,-1,2025-05-27 18:12:50
30,2.355601,0.5607941,2.656465,-0.9895632,-2.946412,-1.477967,0,8,False,False,3,0,-1,2025-05-27 18:13:02
31,2.355601,0.5607941,2.656465,-0.9895632,-2.946412,-1.477967,0,8,False,False,2,0,-10,2025-05-27 18:13:11
32,2.355601,0.5607941,2.656465,-0.9895632,-2.946412,-1.477967,0,8,False,False,2,0,-10,2025-05-27 18:13:22
33,2.355601,0.5607941,2.656465,-0.9895632,-2.946412,-1.477967,0,8,False,False,4,0,-1,2025-05-27 18:13:32
34,2.355601,0.5607941,2.656465,-0.9895632,-2.946412,-1.477967,0,8,False,False,2,0,-10,2025-05-27 18:13:44
35,2.355601,0.5607941,2.656465,-0.9895632,-2.946412,-1.477967,6.577748,8,False,False,3,0,-1,2025-05-27 18:13:56
