Episode,WhiteBallStartX,WhiteBallStartY,RedBallStartX,RedBallStartY,YellowBallStartX,YellowBallStartY,HitAngle,HitForce,RedTouched,YellowTouched,CushionCount,Score,Reward,TimeStamp
0,3.74,0.95,-0.93,0.72,5.44,1.75,343.19,18.4,False,False,2,0,-10,2025-06-15 14:07:46
1,3.74,0.95,-0.93,0.72,5.44,1.75,264.66,29,False,False,5,0,-1,2025-06-15 14:07:58
2,3.74,0.95,-0.93,0.72,5.44,1.75,288.22,28.66,False,False,6,0,-1,2025-06-15 14:08:10
3,3.74,0.95,-0.93,0.72,5.44,1.75,67.79,22.37,False,True,4,0,8,2025-06-15 14:08:21
4,3.74,0.95,-0.93,0.72,5.44,1.75,211.25,23.46,False,True,4,0,8,2025-06-15 14:08:32
5,3.74,0.95,-0.93,0.72,5.44,1.75,269.65,23.25,False,False,5,0,-1,2025-06-15 14:08:43
6,3.74,0.95,-0.93,0.72,5.44,1.75,180.78,19.01,True,False,3,0,8,2025-06-15 14:08:55
7,3.74,0.95,-0.93,0.72,5.44,1.75,104.76,24.39,False,False,5,0,-1,2025-06-15 14:09:06
8,3.74,0.95,-0.93,0.72,5.44,1.75,163.64,24.34,False,False,4,0,-1,2025-06-15 14:09:18
9,3.74,0.95,-0.93,0.72,5.44,1.75,252.91,23.89,False,False,5,0,-1,2025-06-15 14:09:29
10,3.74,0.95,-0.93,0.72,5.44,1.75,164.17,21.45,False,False,3,0,-1,2025-06-15 14:09:42
11,3.74,0.95,-0.93,0.72,5.44,1.75,45.85,27.07,False,False,6,0,-1,2025-06-15 14:09:53
12,3.74,0.95,-0.93,0.72,5.44,1.75,78.48,21.09,False,False,4,0,-1,2025-06-15 14:10:04
13,3.74,0.95,-0.93,0.72,5.44,1.75,289.01,18.52,False,True,4,0,8,2025-06-15 14:10:15
14,3.74,0.95,-0.93,0.72,5.44,1.75,263.23,22.8,False,False,4,0,-1,2025-06-15 14:10:27
15,3.74,0.95,-0.93,0.72,5.44,1.75,225.99,20.71,False,False,4,0,-1,2025-06-15 14:10:38
16,3.74,0.95,-0.93,0.72,5.44,1.75,149.37,18.41,False,False,4,0,-1,2025-06-15 14:10:50
17,3.74,0.95,-0.93,0.72,5.44,1.75,263.24,30,False,False,5,0,-1,2025-06-15 14:11:01
18,3.74,0.95,-0.93,0.72,5.44,1.75,226.01,17.8,False,False,4,0,-1,2025-06-15 14:11:13
19,3.74,0.95,-0.93,0.72,5.44,1.75,360,21.62,True,False,4,0,8,2025-06-15 14:11:24
20,3.74,0.95,-0.93,0.72,5.44,1.75,299.13,13.92,False,False,4,0,-1,2025-06-15 14:11:35
21,3.74,0.95,-0.93,0.72,5.44,1.75,249.55,28.43,False,False,5,0,-1,2025-06-15 14:11:47
22,3.74,0.95,-0.93,0.72,5.44,1.75,175.1,27.2,False,True,3,0,8,2025-06-15 14:11:58
23,3.74,0.95,-0.93,0.72,5.44,1.75,313.62,23.08,False,False,5,0,-1,2025-06-15 14:12:09
24,3.74,0.95,-0.93,0.72,5.44,1.75,128.43,17.65,False,False,4,0,-1,2025-06-15 14:12:20
25,3.74,0.95,-0.93,0.72,5.44,1.75,167.26,28.21,False,False,4,0,-1,2025-06-15 14:12:33
26,3.74,0.95,-0.93,0.72,5.44,1.75,94.8,18.82,False,False,4,0,-1,2025-06-15 14:12:44
27,3.74,0.95,-0.93,0.72,5.44,1.75,63.07,22.53,False,True,5,0,8,2025-06-15 14:12:55
28,3.74,0.95,-0.93,0.72,5.44,1.75,146.57,29.93,False,False,5,0,-1,2025-06-15 14:13:07
29,3.74,0.95,-0.93,0.72,5.44,1.75,109.84,27.15,False,False,5,0,-1,2025-06-15 14:13:19
30,3.74,0.95,-0.93,0.72,5.44,1.75,160.09,25.71,True,False,2,0,4,2025-06-15 14:13:31
31,3.74,0.95,-0.93,0.72,5.44,1.75,148.96,20.82,False,False,4,0,-1,2025-06-15 14:13:43
32,3.74,0.95,-0.93,0.72,5.44,1.75,360,24.83,True,False,4,0,8,2025-06-15 14:13:55
33,3.74,0.95,-0.93,0.72,5.44,1.75,114.07,22.35,False,False,4,0,-1,2025-06-15 14:14:06
34,3.74,0.95,-0.93,0.72,5.44,1.75,175.73,24.53,False,True,2,0,4,2025-06-15 14:14:18
35,3.74,0.95,-0.93,0.72,5.44,1.75,247.71,24.67,False,False,5,0,-1,2025-06-15 14:14:29
36,3.74,0.95,-0.93,0.72,5.44,1.75,95.28,22.17,False,False,5,0,-1,2025-06-15 14:14:40
37,3.74,0.95,-0.93,0.72,5.44,1.75,63.15,20.9,False,False,5,0,-1,2025-06-15 14:14:51
38,3.74,0.95,-0.93,0.72,5.44,1.75,236.32,27.46,True,False,1,0,3,2025-06-15 14:15:03
39,3.74,0.95,-0.93,0.72,5.44,1.75,355.01,9.38,True,False,1,0,3,2025-06-15 14:15:13
40,3.74,0.95,-0.93,0.72,5.44,1.75,261.02,25.47,False,False,5,0,-1,2025-06-15 14:15:25
41,3.74,0.95,-0.93,0.72,5.44,1.75,142.42,17.4,False,False,3,0,-1,2025-06-15 14:15:36
42,3.74,0.95,-0.93,0.72,5.44,1.75,173.54,30,False,False,3,0,-1,2025-06-15 14:15:49
43,3.74,0.95,-0.93,0.72,5.44,1.75,153.54,12.35,False,False,2,0,-10,2025-06-15 14:16:00
44,3.74,0.95,-0.93,0.72,5.44,1.75,210.25,27.56,True,False,3,0,8,2025-06-15 14:16:13
45,3.74,0.95,-0.93,0.72,5.44,1.75,289.56,19.84,False,True,5,0,8,2025-06-15 14:16:24
46,3.74,0.95,-0.93,0.72,5.44,1.75,191.53,28.72,False,False,3,0,-1,2025-06-15 14:16:36
47,3.74,0.95,-0.93,0.72,5.44,1.75,96.39,13.76,False,False,3,0,-1,2025-06-15 14:16:47
48,3.74,0.95,-0.93,0.72,5.44,1.75,267.65,20.17,False,False,4,0,-1,2025-06-15 14:16:58
49,3.74,0.95,-0.93,0.72,5.44,1.75,88.33,24.12,False,False,5,0,-1,2025-06-15 14:17:10
50,3.74,0.95,-0.93,0.72,5.44,1.75,37.69,26.7,False,False,5,0,-1,2025-06-15 14:17:22
51,3.74,0.95,-0.93,0.72,5.44,1.75,276.61,28.45,False,False,5,0,-1,2025-06-15 14:17:33
52,3.74,0.95,-0.93,0.72,5.44,1.75,153.69,28.83,False,False,5,0,-1,2025-06-15 14:17:45
53,3.74,0.95,-0.93,0.72,5.44,1.75,178.51,24.5,False,False,3,0,-1,2025-06-15 14:17:57
54,3.74,0.95,-0.93,0.72,5.44,1.75,360,24.17,True,False,4,0,8,2025-06-15 14:18:09
55,3.74,0.95,-0.93,0.72,5.44,1.75,191.15,24.42,False,False,3,0,-1,2025-06-15 14:18:22
56,3.74,0.95,-0.93,0.72,5.44,1.75,69.88,19.79,False,True,5,0,8,2025-06-15 14:18:32
57,3.74,0.95,-0.93,0.72,5.44,1.75,129.46,19.42,False,False,4,0,-1,2025-06-15 14:18:44
58,3.74,0.95,-0.93,0.72,5.44,1.75,71.42,26.72,False,True,4,0,8,2025-06-15 14:18:55
59,3.74,0.95,-0.93,0.72,5.44,1.75,302.07,19.19,False,False,4,0,-1,2025-06-15 14:19:06
60,3.74,0.95,-0.93,0.72,5.44,1.75,51.95,27.1,False,True,5,0,8,2025-06-15 14:19:17
61,3.74,0.95,-0.93,0.72,5.44,1.75,81.08,24.04,False,False,5,0,-1,2025-06-15 14:19:28
62,3.74,0.95,-0.93,0.72,5.44,1.75,227.26,26.19,False,False,5,0,-1,2025-06-15 14:19:40
63,3.74,0.95,-0.93,0.72,5.44,1.75,66.45,22.73,False,False,5,0,-1,2025-06-15 14:19:51
64,3.74,0.95,-0.93,0.72,5.44,1.75,235.44,20.05,True,False,3,0,8,2025-06-15 14:20:02
65,3.74,0.95,-0.93,0.72,5.44,1.75,155.04,22.69,False,False,4,0,-1,2025-06-15 14:20:14
66,3.74,0.95,-0.93,0.72,5.44,1.75,152.81,17.08,False,False,4,0,-1,2025-06-15 14:20:26
67,3.74,0.95,-0.93,0.72,5.44,1.75,159.86,23.66,True,False,2,0,4,2025-06-15 14:20:38
68,3.74,0.95,-0.93,0.72,5.44,1.75,360,26.57,True,False,4,0,8,2025-06-15 14:20:50
69,3.74,0.95,-0.93,0.72,5.44,1.75,219.67,30,False,False,5,0,-1,2025-06-15 14:21:02
70,3.74,0.95,-0.93,0.72,5.44,1.75,214.33,30,False,False,5,0,-1,2025-06-15 14:21:14
71,3.74,0.95,-0.93,0.72,5.44,1.75,16.01,26.17,False,True,3,0,8,2025-06-15 14:21:26
72,3.74,0.95,-0.93,0.72,5.44,1.75,147.92,23.89,False,False,4,0,-1,2025-06-15 14:21:38
73,3.74,0.95,-0.93,0.72,5.44,1.75,166.17,30,False,False,4,0,-1,2025-06-15 14:21:50
74,3.74,0.95,-0.93,0.72,5.44,1.75,243.62,22.82,True,False,2,0,4,2025-06-15 14:22:01
75,3.74,0.95,-0.93,0.72,5.44,1.75,129.06,18.3,False,False,4,0,-1,2025-06-15 14:22:12
76,3.74,0.95,-0.93,0.72,5.44,1.75,158.32,23.91,False,False,3,0,-1,2025-06-15 14:22:25
77,3.74,0.95,-0.93,0.72,5.44,1.75,259.42,27.88,False,False,5,0,-1,2025-06-15 14:22:36
